model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;54;7;5;2;3;1;3.6;2.4083189157584592;1;7;56;56.5;58;17;58;49.1;17.966635745180564;17;58;3;6;3;2;4;3.6;1.5165750888103102;2;6
Lang;55;7;5;9;4;9;6.8;2.280350850198276;4;9;19;39;4;8;15;17.0;13.619838471876236;4;39;17;6;12;10;10;11.0;4.0;6;17
Lang;56;281;169;63;195;271;195.8;88.41493086577628;63;281;150.5;172.5;137.5;32;135;125.5;54.33806216640413;32;172.5;230;443;331;131;290;285.0;116.02370447455985;131;443
Lang;57;4;3;2;2;7;3.6;2.073644135332772;2;7;16.5;155;40;18;8;47.5;61.24540799113024;8;155;6;6;9;5;8;6.8;1.6431676725154984;5;9
Lang;58;22;21;17;15;10;17.0;4.847679857416329;10;22;31;489;709;312;252;358.6;255.2651562591338;31;709;8;4;6;6;8;6.4;1.6733200530681511;4;8
Lang;59;2;4;2;5;3;3.2;1.3038404810405297;2;5;678.5;217;8;2.5;286;238.4;276.1995202747463;2.5;678.5;5;5;5;5;4;4.8;0.4472135954999579;4;5
Lang;60;4;2;3;1;1;2.2;1.3038404810405297;1;4;227;147;248.5;256;113;198.3;64.38322762956203;113;256;22;15;26;17;17;19.4;4.505552130427524;15;26
Lang;61;4;25;15;2;18;12.8;9.67987603226405;2;25;122;258;265;37;287;193.8;109.10866143437009;37;287;2;5;1;5;1;2.8;2.0493901531919194;1;5
Lang;62;137;107;69;127;61;100.2;34.017642481512446;61;137;97;244;115;256;97;161.8;80.96110177115922;97;256;23;25;32;25;25;26.0;3.4641016151377544;23;32
Lang;63;1;2;2;2;2;1.8;0.44721359549995804;1;2;240;3;55;209;154;132.2;100.80525779938266;3;240;4;8;1;1;15;5.8;5.890670590009256;1;15
Lang;64;1;1;1;1;1;1.0;0.0;1;1;233;247;339.5;798;970.5;517.6;342.6673678656898;233;970.5;9;12;8;9;12;10.0;1.8708286933869707;8;12
Lang;65;11;8;15;4;7;9.0;4.183300132670378;4;15;37;52;70;19;51;45.8;19.018412131405714;19;70;16;15;11;13;12;13.4;2.073644135332772;11;16
Math;1;29;15;21;14;22;20.2;6.058052492344384;14;29;742.5;1404;1887.5;942;1704;1336.0;487.77005340631564;742.5;1887.5;31;30;24;28;33;29.2;3.420526275297414;24;33
Math;2;87;199;105;301;66;151.6;97.77422973360618;66;301;1790;383;341.5;1364;613.5;898.4;645.8863483616913;341.5;1790;127;81;287;108;77;136.0;86.85044617041412;77;287
Math;3;4;4;32;18;2;12.0;12.884098726725126;2;32;116.5;275;121;155;145;162.5;64.9172550251472;116.5;275;12;23;23;25;23;21.2;5.215361924162119;12;25
Math;4;32;42;6;17;17;22.8;14.166862743741113;6;42;2520.5;428;107;803.5;374;846.6;968.166269294691;107;2520.5;49;55;51;40;26;44.2;11.562871615649808;26;55
Math;5;1;2;2;2;1;1.6;0.5477225575051661;1;2;216;169;162;69.5;230;169.3;63.0055553106232;69.5;230;14;8;6;5;4;7.4;3.9749213828703582;4;14
