model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;1;26;24;19;25;28;24.4;3.361547262794322;19;28;1412;1660;885;556;550;1012.6;504.33401630268804;550;1660;31;25;23;28;35;28.4;4.774934554525329;23;35
Math;2;106;165;51;78;67;93.4;44.769409198692806;51;165;642.5;497;264;1296;712;682.3;383.5377426016897;264;1296;147;74;79;71;70;88.2;33.056013068729264;70;147
Math;3;2;14;3;14;2;7.0;6.4031242374328485;2;14;11;51;158;80;14;62.8;60.33821343062785;11;158;16;24;26;27;17;22.0;5.1478150704935;16;27
Math;4;8;24;27;30;30;23.8;9.17605579756357;8;30;908.5;648;532;880;948;783.3;182.76337160383096;532;948;24;27;45;22;19;27.4;10.261578825892242;19;45
Math;5;1;1;2;1;1;1.2;0.4472135954999579;1;2;186;219;207;140.5;215;193.5;32.2490309931942;140.5;219;9;6;8;3;4;6.0;2.5495097567963922;3;9
Math;7;24;127;280;192;222;169.0;98.04080783020915;24;280;1178;1203;151;1418;901;970.2;493.4011552479382;151;1418;21;39;61;94;136;70.2;45.756966682681224;21;136
Math;8;2;1;1;3;3;2.0;1.0;1;3;360;2;713.5;707;295;415.5;300.9813117122058;2;713.5;6;1;1;2;1;2.2;2.16794833886788;1;6
Math;9;4;3;4;1;3;3.0;1.224744871391589;1;4;1519.5;2006;1792;2046;2122;1897.1;244.04825342542404;1519.5;2122;2;2;2;2;2;2.0;0.0;2;2
Math;10;31;21;6;25;16;19.8;9.47100839404126;6;31;1419.5;1698;483;276;1881;1151.5;727.3322830728745;276;1881;173;170;236;148;157;176.8;34.59335196247973;148;236
Math;12;2361;2357;2364;2358;2358;2359.6;2.8809720581775866;2357;2364;640;1219.5;1616;1623.5;1519.5;1323.7;415.92075567348166;640;1623.5;2325;2329;2336;2356;2341;2337.4;12.095453691366853;2325;2356
