model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;12;2365;2355;2367;2362;2365;2362.8;4.711687595755898;2355;2367;179;1095;1223;238.5;1706;888.3;661.1975499047164;179;1706;2355;2377;2376;2378;2366;2370.4;9.864076236526156;2355;2378
Math;15;824;2113;2055;2143;1089;1644.8;636.0630471895062;824;2143;659;1502;922;643.5;743;893.9;357.49972027961087;643.5;1502;2584;2056;2595;2652;1699;2317.2;421.55746939177817;1699;2652
Math;16;741;96;5;648;323;362.6;326.02193177760296;5;741;474;1318;448;213.5;1160;722.7;485.3374599183541;213.5;1318;197;581;354;243;109;296.8;181.77238514141803;109;581
Math;17;222;30;282;118;703;271.0;260.1134367924887;30;703;949;119.5;840;149;90.5;429.6;426.64144782240743;90.5;949;559;495;1087;723;979;768.6;258.1255508468699;495;1087
Math;19;108;144;65;104;152;114.6;34.92563528412905;65;152;1694;2030;1628.5;649;1321;1464.5;520.8140263088159;649;2030;2334;1946;502;1400;1073;1451.0;719.5137246779939;502;2334
Math;21;14;38;10;30;20;22.4;11.523888232710346;10;38;673;1924;1648;1130;963;1267.6;510.1051852314383;673;1924;15;9;17;40;21;20.4;11.781341180018513;9;40
Math;22;3;1;2;2;1;1.8;0.8366600265340756;1;3;407.5;705;798;236;353;499.9;240.15109826940204;236;798;1112;528;1783;868;892;1036.6;466.5852548034496;528;1783
Math;23;64;562;575;1018;867;617.2;365.34189466854195;64;1018;1229;617;739;1180;1083;969.6;274.73587315820265;617;1229;2177;1989;2035;2002;2185;2077.6;95.91037482983788;1989;2185
Math;24;225;1771;392;733;1089;842.0;616.2629308988169;225;1771;743;1795;851;2016;1319;1344.8;561.2167139350004;743;2016;1670;1954;2158;2047;2172;2000.2;204.80039062462748;1670;2172
Math;25;544;544;544;544;544;544.0;0.0;544;544;440;262;306;374;94.5;295.3;131.03033999803253;94.5;440;541;547;548;546;545;545.4;2.701851217221259;541;548
Math;26;1496;1124;913;1079;1590;1240.4;289.1112242719054;913;1590;352.5;1498;686;117.5;692;669.2;522.5857106733785;117.5;1498;956;1884;1971;1709;1159;1535.8;452.4341941100385;956;1971
Math;27;1662;119;722;453;1016;794.4;587.3238459316972;119;1662;522;1759;1793;1616;900;1318.0;573.8575607239135;522;1793;1453;1077;1050;132;693;881.0;497.620839595771;132;1453
Math;28;1240;1864.5;361.5;2301.5;1329;1419.3;730.7057034128035;361.5;2301.5;1750;740;4325;1746;2356;2183.4;1330.300642712015;740;4325;3766;2553;4528;3879;4065;3758.2;733.804946835329;2553;4528
Math;29;77;30;52;50;32;48.2;18.97893569197177;30;77;2390;1581;3080;1363;2240;2130.8;684.0845707951613;1363;3080;291;751;236;40;456;354.8;266.69214461622227;40;751
Math;30;65;69;29;4;15;36.4;29.339393313427596;4;69;869;414.5;813;108;498.5;540.6;310.992242668527;108;869;158;92;9;128;131;103.6;57.85585536486346;9;158
Math;31;163;33.5;45;79;386;141.3;145.88077323622878;33.5;386;76;1672;2884;761;1385;1355.6;1052.1294121922456;76;2884;119;73;748;225;703;373.6;326.3216204911958;73;748
Math;32;1947;35;1075;17;3032;1221.2;1292.7030594842731;17;3032;491;3564;2358;688;3160;2052.2;1405.7614306844528;491;3564;74;3636;1751;1933;1176;1714.0;1296.3851665303796;74;3636
Math;33;5433;5437;5211;5339;5506;5385.2;114.06226369838537;5211;5506;1015.5;2628;2220;5529;435;2365.5;1977.8232352766008;435;5529;5366;5329;5306;5667;5384;5410.4;146.66049229427807;5306;5667
Math;34;4;2;12;1;3;4.4;4.39317652729776;1;12;95;19;60;161;165;100.0;63.50590523722971;19;165;14;49;48;25;3;27.8;20.437710243566915;3;49
Math;35;10;7;9;9;5;8.0;2.0;5;10;91;307;306;32;127.5;172.7;126.80674272293253;32;307;463;291;484;300;478;403.2;98.66458331133822;291;484
Math;36;57;60;106;243;125;118.2;75.66835534092174;57;243;162;101;425;338;227;250.6;131.1880329908182;101;425;13;15;49;108;184;73.8;72.59958677568352;13;184
Math;37;174;241;4;147;24;118.0;101.16570565166835;4;241;1057;261;1588;1234;1486;1125.2;526.2344534520711;261;1588;568;328;21;220;1049;437.2;394.883147272709;21;1049
Math;38;1;1;3;5;18;5.6;7.127411872482185;1;18;751.5;3924;3594;536;1347;2030.5;1609.8461106577859;536;3924;3;1;360;72;2;87.6;155.26525689928187;1;360
Math;39;2166;2055;2227.5;1694;2233;2075.1;224.75664617536899;1694;2233;370.5;492.5;2114;2103;1771;1370.2;868.9983170294405;370.5;2114;2154;2441;2434;2317;1701;2209.4;307.08353912250004;1701;2441
Math;40;521;536;668;42;80;369.4;287.59485391779873;42;668;487;308;246;300;402;348.6;95.581378939624;246;487;1281;1388;1208;1066;1386;1265.8;134.97481246514107;1066;1388
Math;41;662;551;175;932;1551;774.2;512.2906401643504;175;1551;1288;443;825;910;1491;991.4;410.0698720949882;443;1491;704;1536;465;986;645;867.2;418.08456082472117;465;1536
